id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price_per_sqft,neighbours_avg_price,price_ratio,is_anomaly
3253500160,20141120T000000,317625.0,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,0,98144,47.5747,-122.304,1440,4000,114.66606498194946,273.9582545832546,0.4185530571304724,True
3530210260,20141027T000000,274975.0,3,2.5,3030,45004,2.0,0,0,3,9,3030,0,1987,0,98077,47.7721,-122.093,3080,35781,90.75082508250826,225.92659978680484,0.4016827817890637,True
6414100671,20140909T000000,425000.0,3,1.75,2500,6840,1.0,0,0,3,8,1300,1200,1957,0,98125,47.7222,-122.32,1580,8691,170.0,355.54986008411595,0.4781326589744162,True
1653500070,20140512T000000,927000.0,4,2.75,3300,12090,2.0,0,0,3,8,3300,0,1953,0,98004,47.6294,-122.218,3180,12239,280.90909090909093,576.4501088777956,0.48730859198890736,True
3420069065,20140825T000000,360000.0,4,1.75,3730,16980,1.0,0,0,4,7,2150,1580,1974,0,98022,47.1775,-122.022,1880,16963,96.51474530831099,200.52654441513948,0.48130658008299204,True
8820903380,20140728T000000,452000.0,6,2.25,2660,13579,2.0,0,0,3,7,2660,0,1937,1990,98125,47.7142,-122.286,1120,8242,169.9248120300752,388.40337784760413,0.43749571121584774,True
2349300060,20150212T000000,200000.0,4,2.0,1920,4822,1.0,0,0,2,6,920,1000,1914,0,98136,47.5507,-122.381,1120,4822,104.16666666666667,287.84655417034935,0.3618826251608355,True
1238500451,20150209T000000,130000.0,3,1.0,1110,7520,1.0,0,0,4,7,1110,0,1960,0,98033,47.683,-122.176,1440,8400,117.11711711711712,311.7303842687355,0.3757000376843381,True
1926049355,20141028T000000,399000.0,5,2.0,2620,7030,1.0,0,0,3,8,1420,1200,1965,0,98133,47.7338,-122.352,1360,7964,152.29007633587787,445.393356260492,0.3419226492610944,True
3342700465,20150123T000000,250000.0,3,1.5,2840,10182,1.0,0,0,3,8,1510,1330,1951,0,98056,47.524,-122.2,2210,9669,88.02816901408451,190.27454161076406,0.46263766171177917,True
3629160060,20150227T000000,720000.0,4,2.75,3370,7634,1.0,0,2,5,8,2110,1260,1977,0,98056,47.5259,-122.204,2460,7634,213.64985163204747,428.7274316605103,0.49833492297088894,True
9126101740,20141204T000000,490000.0,8,5.0,2800,2580,2.0,0,0,3,8,1880,920,1997,0,98122,47.6086,-122.303,1800,2580,175.0,375.45374980756446,0.4661026826598342,True
1702901557,20140911T000000,445000.0,5,3.0,2930,5500,1.0,0,0,3,7,1750,1180,1951,0,98118,47.5572,-122.281,1400,5500,151.87713310580205,313.54869573061563,0.4843813263260607,True
1832100030,20140625T000000,597326.0,4,4.0,3570,8250,2.0,0,0,3,10,2860,710,2015,0,98040,47.5784,-122.226,2230,10000,167.31820728291316,403.2315429349075,0.414943250880358,True
5505700055,20140730T000000,345000.0,5,3.0,2080,6150,1.0,0,0,3,7,1040,1040,1950,0,98116,47.5707,-122.394,1420,6150,165.8653846153846,359.22975833690117,0.46172506805471525,True
3972900160,20150403T000000,190000.0,4,2.0,1580,6250,1.0,0,0,3,7,860,720,1977,0,98155,47.7659,-122.31,1580,6250,120.25316455696202,242.7748012547033,0.4953280321329574,True
4379600030,20140729T000000,1325000.0,3,3.75,6400,76665,1.0,0,2,4,10,3810,2590,1966,0,98177,47.7313,-122.37,3430,60548,207.03125,467.1444180926693,0.4431846811855309,True
6344000060,20141015T000000,760000.0,4,1.75,2770,8521,1.0,0,0,4,7,1470,1300,1953,0,98004,47.6255,-122.199,1910,9380,274.3682310469314,649.3027210870473,0.42255826463747226,True
4058802105,20140904T000000,150000.0,3,1.0,1450,6776,1.0,0,0,3,7,1450,0,1952,0,98178,47.5056,-122.244,1680,7200,103.44827586206897,207.4008225156824,0.4987843086024735,True
522049104,20140729T000000,210000.0,5,1.75,2340,9148,2.0,0,0,3,7,2340,0,1957,0,98198,47.4232,-122.324,1390,10019,89.74358974358974,202.6418835045107,0.4428679214363505,True
3145600045,20150225T000000,302000.0,6,2.0,2650,4621,1.5,0,0,3,8,2650,0,1911,0,98118,47.5543,-122.275,1640,4879,113.9622641509434,379.6302515608592,0.30019278938489413,True
2346800270,20150106T000000,555000.0,3,3.0,2920,23085,1.5,0,2,3,7,1540,1380,1908,0,98136,47.5159,-122.395,2270,18180,190.06849315068493,414.3372451754541,0.45872895899136235,True
1702901180,20140611T000000,665000.0,6,3.0,4250,4400,2.5,0,0,4,7,3020,1230,1902,0,98118,47.5584,-122.283,1520,4950,156.47058823529412,359.0121430391341,0.43583647870717857,True
7186800105,20150112T000000,236500.0,4,1.0,2140,4217,1.5,0,0,3,6,1320,820,1925,0,98118,47.5484,-122.287,1720,5413,110.51401869158879,238.88009837646993,0.4626338461960153,True
3888100226,20140630T000000,461000.0,3,1.75,3600,8666,2.0,0,0,4,6,2400,1200,1948,0,98033,47.6893,-122.167,2290,8200,128.05555555555554,294.90749066043674,0.43422279735512603,True
3760500435,20150114T000000,570000.0,3,2.75,2730,11936,2.0,0,2,3,8,1530,1200,1978,0,98034,47.6987,-122.231,2810,12333,208.7912087912088,517.5804282606864,0.40339857805838103,True
5476200123,20140710T000000,200000.0,4,2.0,2090,6630,1.0,0,0,3,7,1070,1020,1974,0,98178,47.5077,-122.268,1550,7980,95.69377990430623,192.7328320574163,0.4965100075725472,True
6021503830,20140620T000000,480000.0,4,1.0,2080,5500,1.0,0,0,3,7,1040,1040,1941,0,98117,47.6838,-122.386,1280,4000,230.76923076923077,468.7213289481225,0.4923378061056232,True
3023049236,20140916T000000,350000.0,3,2.75,3070,5280,2.0,0,1,3,7,2360,710,1950,1986,98166,47.4486,-122.353,2570,18983,114.00651465798046,246.57914704188573,0.46235261994240934,True
3880900245,20150202T000000,700000.0,6,3.0,2790,4550,2.5,0,0,4,8,2790,0,1907,0,98119,47.627,-122.361,2590,4550,250.89605734767025,530.8212572788693,0.47265638650914255,True
2391600165,20140617T000000,475000.0,3,2.25,2280,5750,1.0,0,1,4,7,1150,1130,1985,0,98116,47.5641,-122.393,1500,5060,208.33333333333334,433.48815047041825,0.4805975275385302,True
5451100490,20150115T000000,884900.0,7,4.75,5370,10800,1.5,0,0,3,8,5370,0,1967,0,98040,47.538,-122.223,2310,10910,164.78584729981378,400.247543596902,0.4117098279203262,True
2424410110,20140611T000000,325000.0,3,1.75,1790,27427,1.0,0,0,3,7,1130,660,1978,0,98065,47.532,-121.761,1610,16684,181.56424581005587,428.1480109783962,0.4240688760766364,True
723049156,20140523T000000,149000.0,3,1.0,1700,8645,1.0,0,0,3,6,1700,0,1955,0,98146,47.4899,-122.337,1500,7980,87.6470588235294,198.33955573705526,0.44190407958625133,True
7963900100,20140912T000000,680000.0,3,2.5,2620,14248,2.0,0,0,4,8,1830,790,1977,0,98004,47.6281,-122.194,2620,12343,259.5419847328244,547.7182215777991,0.4738604167397752,True
7964410100,20150504T000000,700000.0,4,3.5,5360,25800,1.0,0,0,3,9,3270,2090,1971,0,98074,47.6099,-122.054,2650,21781,130.59701492537314,278.03764557453417,0.469709828881297,True
809002215,20140519T000000,762000.0,5,2.0,3370,5000,1.5,0,0,4,7,2140,1230,1907,0,98109,47.6373,-122.35,1920,3200,226.11275964391692,471.8136070517275,0.47924170957436363,True
9175600025,20141007T000000,800000.0,7,6.75,7480,41664,2.0,0,2,3,11,5080,2400,1953,0,98166,47.4643,-122.368,2810,33190,106.95187165775401,262.0275954335775,0.40817025962773335,True
1997200215,20140507T000000,599999.0,9,4.5,3830,6988,2.5,0,0,3,7,2450,1380,1938,0,98103,47.6927,-122.338,1460,6291,156.65770234986945,350.35119722349543,0.4471447610037269,True
5680001095,20150428T000000,470000.0,5,1.75,2740,9600,1.0,0,0,4,7,1370,1370,1945,0,98144,47.5738,-122.315,1990,4800,171.53284671532847,352.70418916119434,0.4863362896915688,True
3298700110,20141109T000000,373000.0,3,2.5,2990,6771,1.0,0,0,3,7,1550,1440,2003,0,98106,47.5237,-122.353,1800,6771,124.74916387959867,267.75051940812807,0.46591567461889927,True
2902200015,20150106T000000,700000.0,9,3.0,3680,4400,2.0,0,0,3,7,2830,850,1908,0,98102,47.6374,-122.324,1960,2450,190.2173913043478,409.08639489996494,0.4649809763310809,True
3815500165,20140911T000000,396000.0,5,2.75,2840,12253,1.0,0,0,3,7,1420,1420,1960,0,98028,47.7618,-122.253,2210,11620,139.43661971830986,288.3639317211697,0.48354389845515267,True
1723049567,20140730T000000,150000.0,3,1.0,1320,24684,1.0,0,0,3,7,1320,0,1979,0,98168,47.4771,-122.322,1120,21214,113.63636363636364,309.1498418871499,0.3675769747857246,True
7130300785,20140616T000000,418000.0,4,3.0,2360,6250,1.0,0,2,3,7,1460,900,1960,0,98118,47.512,-122.249,2500,6250,177.11864406779662,426.24406026856116,0.4155334011134384,True
3523029059,20140731T000000,181000.0,2,1.5,1560,10807,1.0,0,0,2,7,1560,0,1949,0,98070,47.4444,-122.509,1660,196591,116.02564102564102,348.6693189018458,0.33276699364048,True
2025049006,20141112T000000,750000.0,7,2.75,3410,4056,1.5,0,0,4,8,2130,1280,1906,0,98102,47.6454,-122.316,2510,4056,219.94134897360703,490.09986871717933,0.448768430706371,True
4045500130,20140909T000000,154000.0,2,1.0,1040,20524,1.0,0,3,3,6,1040,0,1949,1989,98014,47.6981,-121.875,1880,38996,148.07692307692307,350.8733707545323,0.42202382802232175,True
5272200005,20150218T000000,175000.0,2,1.0,1160,6911,1.0,0,0,3,7,1160,0,1947,0,98125,47.7149,-122.318,1120,6948,150.86206896551724,343.28968253968253,0.4394599565283421,True
3421069120,20150219T000000,329999.0,3,2.75,3360,41250,1.0,0,0,4,7,1820,1540,1988,0,98022,47.2604,-122.023,2580,98881,98.2139880952381,210.71805403776057,0.46609194709836393,True
7228500094,20141212T000000,278000.0,4,2.0,1480,6324,1.0,0,0,3,7,1480,0,1943,0,98122,47.6147,-122.302,1480,3600,187.83783783783784,415.05566693682545,0.4525605907855925,True
3244500078,20140822T000000,600000.0,3,2.5,4930,77536,2.0,0,0,3,9,3930,1000,1981,0,98072,47.7634,-122.139,2760,7351,121.70385395537525,252.16127515357687,0.48264291922402625,True
1443500305,20141013T000000,194990.0,6,2.5,1560,7144,1.0,0,0,3,6,1060,500,1913,0,98118,47.5335,-122.272,1300,6232,124.99358974358974,330.6021130474954,0.37807861719756386,True
9232900050,20140806T000000,300000.0,2,1.75,2120,6350,1.0,0,0,4,6,1440,680,1924,0,98103,47.6974,-122.356,1590,6350,141.50943396226415,403.5883343159477,0.3506281572833669,True
7224000980,20140610T000000,100000.0,4,1.0,1120,2685,1.0,0,0,3,5,860,260,1939,0,98055,47.4904,-122.203,1120,4838,89.28571428571429,234.61225294928758,0.3805671407324739,True
1775800280,20150226T000000,310000.0,5,2.0,2900,11970,2.0,0,0,4,7,2900,0,1969,0,98072,47.741,-122.095,1260,12398,106.89655172413794,245.981716901406,0.434571126141802,True
1624079088,20140811T000000,415000.0,3,2.75,3900,111514,2.0,0,0,3,6,3460,440,1967,2008,98024,47.5621,-121.924,2460,217800,106.41025641025641,253.91164882741361,0.4190837911599108,True
7568700480,20150323T000000,153000.0,2,1.0,1140,10152,1.0,0,0,3,6,760,380,1942,0,98155,47.7369,-122.321,1340,10141,134.21052631578948,281.6230724020796,0.47656083420670203,True
4055700345,20140714T000000,497000.0,3,1.5,2240,28750,1.0,0,0,3,8,1620,620,1956,0,98034,47.7137,-122.254,3200,23873,221.875,482.5302240795198,0.45981575646012907,True
8122100595,20140627T000000,212700.0,2,1.0,940,5040,1.0,0,0,3,7,940,0,1926,0,98126,47.5375,-122.374,940,5040,226.27659574468086,473.94067873797724,0.4774365356171085,True
9169600275,20140723T000000,280000.0,2,1.0,2280,37500,2.0,0,0,3,7,2280,0,1932,0,98136,47.525,-122.389,2360,6000,122.80701754385964,411.4153930180486,0.29849883992666304,True
4058801702,20150206T000000,800000.0,4,2.5,4940,10037,1.0,0,4,3,9,3450,1490,1953,0,98178,47.5095,-122.247,2430,9272,161.94331983805668,388.13427643784786,0.41723529631114337,True
8656800190,20141002T000000,280000.0,3,1.75,2080,87991,1.0,0,0,3,6,1040,1040,1970,0,98014,47.6724,-121.865,2080,84300,134.6153846153846,333.5400634414626,0.4035958476065052,True
7950302210,20141114T000000,358000.0,4,2.0,2200,3060,1.0,0,0,3,7,1100,1100,1908,2000,98118,47.565,-122.284,1410,5100,162.72727272727272,408.28564999357076,0.39856231226797995,True
8835900086,20140902T000000,350000.0,4,3.0,3380,16133,1.0,0,1,3,8,2330,1050,1959,0,98118,47.5501,-122.261,2500,11100,103.55029585798816,326.02187318545566,0.31761763358461587,True
9141100005,20141028T000000,285000.0,4,3.5,2770,10505,2.0,0,0,3,8,2770,0,1940,2015,98133,47.7412,-122.355,1760,10505,102.88808664259928,287.6199999208267,0.35772229563633035,True
4030500130,20140923T000000,243500.0,4,2.5,2300,15188,2.0,0,0,4,7,2300,0,1966,0,98042,47.3683,-122.164,1820,10125,105.8695652173913,250.35543063899192,0.4228770470333968,True
1446403617,20140702T000000,123000.0,2,1.0,1050,6600,1.5,0,0,3,6,1050,0,1964,0,98168,47.4828,-122.324,1330,6600,117.14285714285714,283.9199425362413,0.41259115543778435,True
626049058,20150504T000000,275000.0,5,2.5,2570,17234,1.0,0,0,3,7,1300,1270,1959,0,98133,47.7753,-122.355,1760,7969,107.00389105058366,220.86646108197505,0.4844732447217006,True
7574200210,20140618T000000,407450.0,4,1.5,2310,68824,2.0,0,0,4,7,2310,0,1968,0,98010,47.3354,-122.031,2020,39900,176.3852813852814,402.4058398419137,0.43832684300649033,True
122029066,20150508T000000,490000.0,3,1.75,2020,215622,2.0,0,0,4,7,2020,0,1975,0,98070,47.4189,-122.499,1810,215622,242.5742574257426,490.20212962512016,0.49484537656180755,True
5379804470,20140617T000000,170000.0,4,1.0,1920,13787,1.0,0,0,4,7,1220,700,1966,0,98188,47.4502,-122.277,1490,11200,88.54166666666667,199.81099780206924,0.44312709330632116,True
3883800011,20141105T000000,82000.0,3,1.0,860,10426,1.0,0,0,3,6,860,0,1954,0,98146,47.4987,-122.341,1140,11250,95.34883720930233,192.80948902869645,0.49452357189282975,True
4038000040,20150326T000000,250000.0,4,1.75,1910,8250,1.0,0,0,4,7,1910,0,1959,0,98008,47.6131,-122.123,1500,8250,130.89005235602093,306.01444771109783,0.4277250742082336,True
424049043,20140811T000000,450000.0,9,7.5,4050,6504,2.0,0,0,3,7,4050,0,1996,0,98144,47.5923,-122.301,1448,3866,111.11111111111111,371.618881417651,0.29899210364996703,True
5379805160,20141002T000000,242000.0,5,2.25,2340,7494,1.0,0,0,3,7,1170,1170,1951,0,98188,47.448,-122.28,1650,10125,103.41880341880342,215.93985406819675,0.4789241146108321,True
7812800515,20141025T000000,159075.0,4,1.5,1580,6200,1.0,0,0,3,6,790,790,1944,0,98178,47.4971,-122.24,1320,6499,100.68037974683544,226.3904743068113,0.44472003539508603,True
7384500110,20140723T000000,685000.0,3,2.5,3450,8000,3.0,0,0,4,8,2970,480,1927,1975,98116,47.5605,-122.402,1880,6135,198.55072463768116,447.90225187192095,0.4432903023101062,True
1568100300,20140917T000000,350000.0,6,4.5,3500,8504,2.0,0,0,3,7,3500,0,1980,0,98155,47.7351,-122.295,1550,8460,100.0,230.41140261737684,0.4340062985774227,True
6303400981,20150113T000000,190000.0,3,1.75,1160,5850,1.0,0,0,4,6,1160,0,1918,0,98146,47.5064,-122.356,1110,8382,163.79310344827587,355.2011689703125,0.4611277151004129,True
